Movie Title,Release Year,Duration,Rating,IMDb Rating,IMDb Votes
1. The Shawshank Redemption,1994,2h 22m,R,9.3 (2.8M), (2.8M)
2. The Godfather,1972,2h 55m,R,9.2 (2M), (2M)
3. The Dark Knight,2008,2h 32m,PG-13,9.0 (2.8M), (2.8M)
4. The Godfather Part II,1974,3h 22m,R,9.0 (1.3M), (1.3M)
5. 12 Angry Men,1957,1h 36m,Approved,9.0 (847K), (847K)
6. Schindler's List,1993,3h 15m,R,9.0 (1.4M), (1.4M)
7. The Lord of the Rings: The Return of the King,2003,3h 21m,PG-13,9.0 (1.9M), (1.9M)
8. Pulp Fiction,1994,2h 34m,R,8.9 (2.2M), (2.2M)
9. The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,PG-13,8.9 (2M), (2M)
"10. Il buono, il brutto, il cattivo",1966,2h 41m,Approved,8.8 (799K), (799K)
11. Forrest Gump,1994,2h 22m,PG-13,8.8 (2.2M), (2.2M)
12. Fight Club,1999,2h 19m,R,8.8 (2.3M), (2.3M)
13. The Lord of the Rings: The Two Towers,2002,2h 59m,PG-13,8.8 (1.8M), (1.8M)
14. Inception,2010,2h 28m,PG-13,8.8 (2.5M), (2.5M)
15. Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,PG,8.7 (1.4M), (1.4M)
16. The Matrix,1999,2h 16m,R,8.7 (2M), (2M)
17. Goodfellas,1990,2h 25m,R,8.7 (1.2M), (1.2M)
18. One Flew Over the Cuckoo's Nest,1975,2h 13m,R,8.7 (1.1M), (1.1M)
19. Se7en,1995,2h 7m,R,8.6 (1.8M), (1.8M)
20. It's a Wonderful Life,1946,2h 10m,PG,8.6 (492K), (492K)
21. Shichinin no samurai,1954,3h 27m,Not Rated,8.6 (362K), (362K)
22. Interstellar,2014,2h 49m,PG-13,8.7 (2M), (2M)
23. The Silence of the Lambs,1991,1h 58m,R,8.6 (1.5M), (1.5M)
24. Saving Private Ryan,1998,2h 49m,R,8.6 (1.5M), (1.5M)
25. Cidade de Deus,2002,2h 10m,R,8.6 (790K), (790K)
26. La vita è bella,1997,1h 56m,PG-13,8.6 (732K), (732K)
27. The Green Mile,1999,3h 9m,R,8.6 (1.4M), (1.4M)
28. Star Wars,1977,2h 1m,PG,8.6 (1.4M), (1.4M)
29. Terminator 2: Judgment Day,1991,2h 17m,R,8.6 (1.2M), (1.2M)
30. Spider-Man: Across the Spider-Verse,2023,2h 20m,PG,8.6 (326K), (326K)
31. Back to the Future,1985,1h 56m,PG,8.5 (1.3M), (1.3M)
32. Sen to Chihiro no kamikakushi,2001,2h 5m,PG,8.6 (828K), (828K)
33. The Pianist,2002,2h 30m,R,8.5 (894K), (894K)
34. Gisaengchung,2019,2h 12m,R,8.5 (918K), (918K)
35. Psycho,1960,1h 49m,R,8.5 (708K), (708K)
